number,safe_repo,repo_name,archive,repo_id,technology,path
435,rancher/partner-charts,rancher/partner-charts,rancher-partner-charts.tar.gz,276161202.0,kyverno,charts/openebs/openebs/3.9.0/templates/kyverno/allow-privilege-escalation.yaml
436,linkedin/openhouse,linkedin/openhouse,linkedin-openhouse.tar.gz,756620350.0,opa,infra/recipes/docker-compose/common/opa/policy.rego
437,par-tec/super-sast,par-tec/super-sast,par-tec-super-sast.tar.gz,578201834.0,opa,.docker-security.rego
438,soulwhisper/homelab-ops,soulwhisper/homelab-ops,soulwhisper-homelab-ops.tar.gz,857193770.0,kyverno,.archived/kubernetes/kyverno/policies/enforce-user-namespaces.yaml
439,cert-manager/cert-manager,cert-manager/cert-manager,cert-manager-cert-manager.tar.gz,92313258.0,kyverno,make/config/kyverno/policy.yaml
440,kubernetes/k8s.io,kubernetes/k8s.io,kubernetes-k8s.io.tar.gz,66314075.0,opa,policy/deprecations.rego
441,azure/aks-app-routing-operator,azure/aks-app-routing-operator,Azure-aks-app-routing-operator.tar.gz,475550441.0,opa,pkg/manifests/policy/manifests/k8spspcapabilities.yaml
442,project-sunbird/sunbird-devops,project-sunbird/sunbird-devops,project-sunbird-sunbird-devops.tar.gz,96124296.0,opa,kubernetes/opa/analytics/main.rego
443,tuxpeople/k8s-homelab,tuxpeople/k8s-homelab,tuxpeople-k8s-homelab.tar.gz,372035867.0,kyverno,kubernetes/apps/security/kyverno/policies/gatus-internal.yaml
444,googlecloudplatform/terraform-google-secured-data-warehouse,googlecloudplatform/terraform-google-secured-data-warehouse,GoogleCloudPlatform-terraform-google-secured-data-warehouse.tar.gz,363251886.0,opa,policy-library/policies/constraints/bigquery_cmek.yaml
445,crossplane/tbs,crossplane/tbs,crossplane-tbs.tar.gz,201123926.0,opa,episodes/14/assets/gatekeeper/constraint-app.yaml
446,sebastiaanpasterkamp/dndmachine,sebastiaanpasterkamp/dndmachine,SebastiaanPasterkamp-dndmachine.tar.gz,441257538.0,opa,internal/policy/rego/session.rego
447,awslabs/idf-modules,awslabs/idf-modules,awslabs-idf-modules.tar.gz,612266272.0,kyverno,modules/compute/eks/kyverno-policies/validate/disallow-helm-tiller.yaml
448,blaqvikin/powershell-in-the-making,blaqvikin/powershell-in-the-making,blaqvikin-Powershell-In-The-Making.tar.gz,232899500.0,azure,ARMTemplates/NamingPolicy.json
449,killer-sh/cks-course-environment,killer-sh/cks-course-environment,killer-sh-cks-course-environment.tar.gz,313927079.0,opa,course-content/opa/namespace-labels/all_ns_must_have_cks.yaml
450,kube-tarian/helmrepo-supporting-tools,kube-tarian/helmrepo-supporting-tools,kube-tarian-helmrepo-supporting-tools.tar.gz,586611976.0,kyverno,charts/monitoring/templates/clustername-policy.yaml
451,jameswoolfenden/terraform-aws-activemq,jameswoolfenden/terraform-aws-activemq,JamesWoolfenden-terraform-aws-activemq.tar.gz,233854093.0,checkov,checkov/MQBrokerLogging.py
452,artifacthub/hub,artifacthub/hub,artifacthub-hub.tar.gz,233809604.0,opa,cmd/ah/testdata/lint/test5/pkgs/policy1.rego
453,spiffe/spire,spiffe/spire,spiffe-spire.tar.gz,100061496.0,opa,pkg/server/authpolicy/policy.rego
454,azurenoops/ref-scca-enclave-policy-starter,azurenoops/ref-scca-enclave-policy-starter,azurenoops-ref-scca-enclave-policy-starter.tar.gz,636743203.0,azure,infrastructure/policy/custompolicies/lib/definitions/monitoring/deploy_activitylog_la_workspace_keyregen.json
455,brunoreboul/terraform-google-realtime-asset-monitor,brunoreboul/terraform-google-realtime-asset-monitor,BrunoReboul-terraform-google-realtime-asset-monitor.tar.gz,390600082.0,opa,modules/fetchrules/constraints.rego
456,azure/community-policy,azure/community-policy,Azure-Community-Policy.tar.gz,221338252.0,azure,policyDefinitions/General/resource-name-contains-resource-group-name/azurepolicy.json
457,lakekeeper/lakekeeper,lakekeeper/lakekeeper,lakekeeper-lakekeeper.tar.gz,782635104.0,opa,authz/opa-bridge/policies/trino/user.rego
