repo_name,archive_name
hashicorp/nomad-guides,hashicorp-nomad-guides.tar.gz
devspace-cloud/devspace-cloud,devspace-cloud-devspace-cloud.tar.gz
CiscoDevNet/sdwan-devops,CiscoDevNet-sdwan-devops.tar.gz
qbeyond/terraform-azurerm-archetype-lib,qbeyond-terraform-azurerm-archetype-lib.tar.gz
DaoCloud/dce-charts-repackage,DaoCloud-dce-charts-repackage.tar.gz
Nordix/metal3-clusterapi-docs,Nordix-metal3-clusterapi-docs.tar.gz
neilmfrench/homelab-prod,neilmfrench-homelab-prod.tar.gz
aquasecurity/postee,aquasecurity-postee.tar.gz
digicatapult/veritable-cloudagent,digicatapult-veritable-cloudagent.tar.gz
rallyhealth/conftest-policy-packs,rallyhealth-conftest-policy-packs.tar.gz
confluentinc/policy-library-confluent-terraform,confluentinc-policy-library-confluent-terraform.tar.gz
stylescube/Sam-s-Custodian,stylescube-Sam-s-Custodian.tar.gz
dettanym/prose,dettanym-prose.tar.gz
GSA/grace-cloudcustodian,GSA-grace-cloudcustodian.tar.gz
c0c0n3/teadal.proto,c0c0n3-teadal.proto.tar.gz
mitodl/ol-infrastructure,mitodl-ol-infrastructure.tar.gz
Parsifal-M/backstage-opa-plugins,Parsifal-M-backstage-opa-plugins.tar.gz
magda-io/magda,magda-io-magda.tar.gz
deployKF/deployKF,deployKF-deployKF.tar.gz
auricom/home-ops,auricom-home-ops.tar.gz
prancer-io/prancer-hello-world,prancer-io-prancer-hello-world.tar.gz
meshcloud/collie-hub,meshcloud-collie-hub.tar.gz
OpenMPDK/dss-minio,OpenMPDK-dss-minio.tar.gz
nuts-foundation/nuts-workshops,nuts-foundation-nuts-workshops.tar.gz
DoD-Platform-One/Gatekeeper,DoD-Platform-One-Gatekeeper.tar.gz
pagopa/eng-azure-governance,pagopa-eng-azure-governance.tar.gz
Vikaspogu/openshift-multicluster,Vikaspogu-openshift-multicluster.tar.gz
anderseknert/opal,anderseknert-opal.tar.gz
chen-keinan/mesh-kridik,chen-keinan-mesh-kridik.tar.gz
alibaba/SREWorks,alibaba-SREWorks.tar.gz
microsoft/fabric-toolbox,microsoft-fabric-toolbox.tar.gz
dmwm/CMSKubernetes,dmwm-CMSKubernetes.tar.gz
aws-cloudformation/rain,aws-cloudformation-rain.tar.gz
Azure/terraform-azurerm-caf-enterprise-scale,Azure-terraform-azurerm-caf-enterprise-scale.tar.gz
defenseunicorns/lula,defenseunicorns-lula.tar.gz
adhar-io/adhar,adhar-io-adhar.tar.gz
solo-io/hoot,solo-io-hoot.tar.gz
